Time, ProductionCenter, WorkersCount, BufferCount
1.0, Производственный центр №1, 2, 500
1.0, Производственный центр №2, 0, 0
1.0, Производственный центр №3, 0, 0
1.0, Производственный центр №4, 3, 0
1.0, Производственный центр №5, 1, 0
2.0, Производственный центр №1, 2, 500
2.0, Производственный центр №2, 0, 0
2.0, Производственный центр №3, 0, 0
2.0, Производственный центр №4, 3, 0
2.0, Производственный центр №5, 1, 0
3.0, Производственный центр №1, 2, 498
3.0, Производственный центр №2, 0, 0
3.0, Производственный центр №3, 0, 0
3.0, Производственный центр №4, 3, 2
3.0, Производственный центр №5, 1, 0
4.0, Производственный центр №1, 2, 498
4.0, Производственный центр №2, 0, 0
4.0, Производственный центр №3, 0, 0
4.0, Производственный центр №4, 3, 1
4.0, Производственный центр №5, 1, 0
5.0, Производственный центр №1, 2, 497
5.0, Производственный центр №2, 2, 1
5.0, Производственный центр №3, 0, 0
5.0, Производственный центр №4, 2, 0
5.0, Производственный центр №5, 0, 1
6.0, Производственный центр №1, 2, 496
6.0, Производственный центр №2, 2, 1
6.0, Производственный центр №3, 0, 0
6.0, Производственный центр №4, 2, 1
6.0, Производственный центр №5, 0, 0
7.0, Производственный центр №1, 2, 495
7.0, Производственный центр №2, 2, 1
7.0, Производственный центр №3, 0, 0
7.0, Производственный центр №4, 2, 2
7.0, Производственный центр №5, 0, 0
8.0, Производственный центр №1, 2, 494
8.0, Производственный центр №2, 2, 1
8.0, Производственный центр №3, 0, 0
8.0, Производственный центр №4, 2, 1
8.0, Производственный центр №5, 0, 2
9.0, Производственный центр №1, 2, 493
9.0, Производственный центр №2, 0, 0
9.0, Производственный центр №3, 1, 1
9.0, Производственный центр №4, 3, 2
9.0, Производственный центр №5, 0, 1
10.0, Производственный центр №1, 2, 492
10.0, Производственный центр №2, 0, 1
10.0, Производственный центр №3, 1, 1
10.0, Производственный центр №4, 3, 2
10.0, Производственный центр №5, 0, 1
11.0, Производственный центр №1, 2, 491
11.0, Производственный центр №2, 2, 1
11.0, Производственный центр №3, 0, 1
11.0, Производственный центр №4, 2, 1
11.0, Производственный центр №5, 0, 3
12.0, Производственный центр №1, 2, 490
12.0, Производственный центр №2, 2, 1
12.0, Производственный центр №3, 0, 1
12.0, Производственный центр №4, 2, 2
12.0, Производственный центр №5, 0, 1
13.0, Производственный центр №1, 2, 490
13.0, Производственный центр №2, 2, 1
13.0, Производственный центр №3, 0, 1
13.0, Производственный центр №4, 2, 2
13.0, Производственный центр №5, 0, 1
14.0, Производственный центр №1, 2, 488
14.0, Производственный центр №2, 0, 0
14.0, Производственный центр №3, 2, 2
14.0, Производственный центр №4, 2, 2
14.0, Производственный центр №5, 0, 3
15.0, Производственный центр №1, 2, 488
15.0, Производственный центр №2, 0, 0
15.0, Производственный центр №3, 2, 2
15.0, Производственный центр №4, 2, 2
15.0, Производственный центр №5, 0, 3
16.0, Производственный центр №1, 2, 488
16.0, Производственный центр №2, 0, 0
16.0, Производственный центр №3, 2, 1
16.0, Производственный центр №4, 0, 1
16.0, Производственный центр №5, 2, 4
17.0, Производственный центр №1, 2, 486
17.0, Производственный центр №2, 2, 2
17.0, Производственный центр №3, 0, 1
17.0, Производственный центр №4, 0, 1
17.0, Производственный центр №5, 2, 2
18.0, Производственный центр №1, 2, 486
18.0, Производственный центр №2, 2, 2
18.0, Производственный центр №3, 2, 0
18.0, Производственный центр №4, 0, 1
18.0, Производственный центр №5, 0, 3
19.0, Производственный центр №1, 2, 485
19.0, Производственный центр №2, 2, 2
19.0, Производственный центр №3, 0, 0
19.0, Производственный центр №4, 2, 2
19.0, Производственный центр №5, 0, 1
20.0, Производственный центр №1, 2, 484
20.0, Производственный центр №2, 2, 2
20.0, Производственный центр №3, 0, 0
20.0, Производственный центр №4, 2, 2
20.0, Производственный центр №5, 0, 2
21.0, Производственный центр №1, 2, 483
21.0, Производственный центр №2, 1, 1
21.0, Производственный центр №3, 0, 1
21.0, Производственный центр №4, 3, 2
21.0, Производственный центр №5, 0, 3
22.0, Производственный центр №1, 2, 482
22.0, Производственный центр №2, 0, 0
22.0, Производственный центр №3, 2, 2
22.0, Производственный центр №4, 2, 2
22.0, Производственный центр №5, 0, 4
23.0, Производственный центр №1, 2, 481
23.0, Производственный центр №2, 2, 1
23.0, Производственный центр №3, 2, 2
23.0, Производственный центр №4, 0, 2
23.0, Производственный центр №5, 0, 2
24.0, Производственный центр №1, 2, 480
24.0, Производственный центр №2, 2, 1
24.0, Производственный центр №3, 2, 2
24.0, Производственный центр №4, 0, 3
24.0, Производственный центр №5, 0, 2
25.0, Производственный центр №1, 2, 479
25.0, Производственный центр №2, 2, 2
25.0, Производственный центр №3, 2, 1
25.0, Производственный центр №4, 0, 3
25.0, Производственный центр №5, 0, 3
